download_count,project
85706954,"nest-asyncio"
84873282,"langchain-core"
84687520,"sentry-sdk"
84239023,"grpc-google-iam-v1"
83644003,"isort"
83189706,"requests-aws4auth"
83181625,"markdown"
82749465,"webencodings"
82666055,"httpx-sse"
80661617,"dbt-core"
80661509,"stack-data"
80523226,"sse-starlette"
80399659,"pure-eval"
80356844,"cachecontrol"
79706655,"grpcio-health-checking"
79312862,"opentelemetry-exporter-prometheus"
78681169,"google-cloud-batch"
78297479,"pytest-xdist"
78172540,"aliyun-python-sdk-core"
77515971,"pymongo"
76935853,"execnet"
75732620,"awswrangler"
75443203,"ply"
75396909,"typing-inspect"
75389470,"databricks-sdk"
75323842,"authlib"
74926697,"debugpy"
74857258,"litellm"
74549670,"google-analytics-admin"
74528559,"watchdog"
73573315,"termcolor"
73454105,"pymysql"
73343292,"aioitertools"
72861580,"typedload"
72821800,"pkginfo"
72753076,"xxhash"
71599175,"dulwich"
71242057,"pyzmq"
70702243,"mccabe"
70141251,"installer"
70087609,"dbt-adapters"
69782107,"ruamel-yaml-clib"
69700655,"typer-slim"
69565264,"h2"
69349181,"hyperframe"
69170032,"pytest-mock"
69148131,"hpack"
68625473,"events"
68285989,"torch"
67992457,"msrest"
67081324,"pycryptodome"
66690038,"pandas-stubs"
65979328,"jsonpath-ng"
65788792,"poetry"
64149930,"dbt-common"
64071708,"lz4"
64058115,"dataclasses-json"
63666747,"pycodestyle"
63514848,"slack-sdk"
63456886,"requests-file"
62996297,"langsmith"
62909673,"cattrs"
62733335,"crashtest"
61705820,"pendulum"
61583355,"croniter"
61160681,"notebook"
61075564,"jupyter-core"
61036907,"arrow"
60847540,"rfc3339-validator"
60671063,"argcomplete"
60653480,"snowflake-sqlalchemy"
60610399,"deepdiff"
60569095,"datadog"
60503627,"multiprocess"
60446942,"pygithub"
60030604,"cleo"
60022501,"invoke"
59641138,"ipykernel"
59521123,"future"
59457431,"semver"
59357963,"shapely"
59260777,"wsproto"
59259912,"azure-common"
59119815,"tree-sitter"
58907106,"smart-open"
